Feature,Importance
species_Calochortus albus,0.20567928
species_Heteromeles arbutifolia,0.09769539
species_Toxicodendron diversilobum,0.08877581
species_Elgaria multicarinata,0.07860603
species_Veratrum californicum,0.078468956
species_Aesculus californica,0.062099047
species_Calochortus leichtlinii,0.050166287
species_Silene laciniata,0.046517458
species_Adelinia grande,0.034984823
species_Taricha sierrae,0.0333725
species_Sarcodes sanguinea,0.031295553
species_Arctostaphylos patula,0.024842031
species_Arctostaphylos viscida,0.02482752
species_Lathyrus sulphureus,0.024791116
species_Lonicera hispidula,0.022878127
species_Pterospora andromedea,0.022735031
species_Woodwardia fimbriata,0.018948667
species_Aquilegia formosa,0.01826832
species_Sedum spathulifolium,0.012437413
species_Lysimachia latifolia,0.010387153
species_Chamaebatia foliolosa,0.007818657
species_Chlorogalum pomeridianum,0.004404904
