Species,IndVal,Specificity,Fidelity,P-value,Z-score
Sarcodes sanguinea,12.014656430177824,0.8054051976824683,0.14917530287549263,2.0e-04,6.318537892903097
Chamaebatia foliolosa,7.918575255427435,0.6749869871343266,0.11731448763250883,2.0e-04,3.702663593243602
Pterospora andromedea,6.999863089785961,0.7913541588799278,0.0884542402568968,2.0e-04,3.115947793346766
Calochortus leichtlinii,6.746997993219864,0.8434978695538191,0.07998832287257335,2.0e-04,2.954460928421908
Silene laciniata,6.3044034990513955,0.8495934239197832,0.07420494699646643,2.0e-04,2.671807457196049
Aquilegia formosa,6.293699654596757,0.7138764293649401,0.08816231207123047,2.0e-04,2.664971676745935
Veratrum californicum,6.217181206818286,0.9680433738161837,0.06422420084659174,2.0e-04,2.616104812918281
Toxicodendron diversilobum,6.059748795030499,0.942257642304193,0.06431095406360424,2.0e-04,2.5155639831935925
Arctostaphylos viscida,5.534252302028953,0.8157257299344761,0.06784452296819787,2.0e-04,2.1799669303134803
Arctostaphylos patula,5.299225361163919,0.8769321968438166,0.0604291344329295,2.0e-04,2.02987202054307
Chamaenerion angustifolium,5.25807487699574,0.9405501561957654,0.05590424755510145,2.0e-04,2.0035921473272653
Lilium parvum,5.156267443215901,0.9395103258902163,0.054882498905269306,2.0e-04,1.938575015542714
Calyptridium monospermum,5.11251099140781,0.8501410874304589,0.060137206247263174,2.0e-04,1.9106308970436345
Calochortus albus,5.073784564821125,0.9971396054474849,0.05088339222614841,2.0e-04,1.885899096157893
Penstemon newberryi,5.035407992598128,0.8560193587416818,0.058823529411764705,2.0e-04,1.861390722250171
