cutoff,sum_top_10_indval,mean_top_10_indval,max_indval,n_significant_vcm,n_vcm_sites,n_nonvcm_sites,total_sites
0.1,43.71584291944983,4.371584291944982,5.735942651353362,111,8756,21061,29817
0.2,42.32545845803369,4.232545845803369,5.484212634143655,112,10003,19814,29817
0.3,41.67377267163624,4.167377267163625,5.4785743803728995,115,10820,18997,29817
0.4,41.22718066590727,4.122718066590727,5.615446401309166,117,11554,18263,29817
0.5,41.73407747922375,4.173407747922375,6.018430826734262,116,12505,17312,29817
0.6,41.2414125895717,4.12414125895717,6.164613002193271,122,13516,16301,29817
0.7,39.59100689713478,3.959100689713478,5.898089168184607,128,14477,15340,29817
0.8,38.62948917966635,3.862948917966635,5.716261623895047,130,15640,14177,29817
0.9,36.39455695279458,3.639455695279458,5.195782979138726,131,17268,12549,29817
0.95,35.61383570819911,3.561383570819911,4.720656914628887,129,18758,11059,29817
0.99,33.91328746290091,3.391328746290091,4.444479376505592,132,21948,7869,29817
